A_TOTAL_(m2),N_HABITACIONES,N_BAÑOS,N_ASEOS,TIENE_LAVADERO,TIENE_ENTRADA,A_SALON,A_COCINA,A_DORM1,A_DORM2,A_DORM3,A_DORM4,A_DORM5,A_DORM6,TOTAL_A_HABITACIONES,A_BAÑO1,A_BAÑO2,A_BAÑO3,A_BAÑO4,TOTAL_A_BAÑOS,A_ASEO,A_ENTRADA,A_PASILLO,A_LAVADERO
59.6,2,1,0,False,True,18.15,7.1,12.2,9.4,0.0,0.0,0.0,0.0,21.6,3.95,0.0,0.0,0.0,3.95,0.0,3.8,5.0,0.0
59.85,2,1,0,False,True,18.2,7.15,12.7,10.15,0.0,0.0,0.0,0.0,22.85,5.15,0.0,0.0,0.0,5.15,0.0,3.1,3.4,0.0
59.85,2,1,0,False,True,18.7,7.0,14.4,9.1,0.0,0.0,0.0,0.0,23.5,3.5,0.0,0.0,0.0,3.5,0.0,3.75,3.4,0.0
59.99,2,1,0,False,False,18.224,4.556,13.79,9.98,0.0,0.0,0.0,0.0,23.77,4.65,0.0,0.0,0.0,4.65,0.0,0.0,8.79,0.0
60.1,2,2,0,False,False,22.64,5.66,13.1,9.5,0.0,0.0,0.0,0.0,22.6,3.4,3.4,0.0,0.0,6.8,0.0,0.0,2.4,0.0
60.34,2,1,0,True,False,20.512,5.128,12.83,11.04,0.0,0.0,0.0,0.0,23.869999999999997,3.75,0.0,0.0,0.0,3.75,0.0,0.0,4.98,2.1
60.34,2,1,0,True,True,17.64,6.97,10.41,8.98,0.0,0.0,0.0,0.0,19.39,3.89,0.0,0.0,0.0,3.89,0.0,5.11,5.45,1.89
60.7,2,2,0,False,False,21.84,5.46,13.4,9.9,0.0,0.0,0.0,0.0,23.3,4.0,3.8,0.0,0.0,7.8,0.0,0.0,2.3,0.0
60.9,2,1,0,False,True,17.25,9.55,15.34,9.16,0.0,0.0,0.0,0.0,24.5,3.56,0.0,0.0,0.0,3.56,0.0,3.43,2.61,0.0
61.3,2,2,0,False,False,22.08,5.52,13.8,10.7,0.0,0.0,0.0,0.0,24.5,3.7,3.1,0.0,0.0,6.800000000000001,0.0,0.0,2.4,0.0
61.35,3,2,0,False,False,20.696,5.174,12.1,8.66,7.8,0.0,0.0,0.0,28.56,2.65,2.34,0.0,0.0,4.99,0.0,0.0,1.93,0.0
61.79,2,2,0,False,True,20.34,8.27,10.33,8.93,0.0,0.0,0.0,0.0,19.259999999999998,3.6,3.12,0.0,0.0,6.720000000000001,0.0,4.7,2.5,0.0
61.89,2,1,0,True,True,18.78,8.35,10.67,10.07,0.0,0.0,0.0,0.0,20.740000000000002,3.88,0.0,0.0,0.0,3.88,0.0,4.52,3.73,1.89
62.4,2,2,0,True,False,20.456,5.114,13.72,9.03,0.0,0.0,0.0,0.0,22.75,3.62,2.96,0.0,0.0,6.58,0.0,0.0,4.09,3.41
63.32,2,1,0,True,True,18.21,6.98,12.17,10.89,0.0,0.0,0.0,0.0,23.060000000000002,4.44,0.0,0.0,0.0,4.44,0.0,6.38,2.0,2.25
63.38,3,1,1,False,True,18.62,7.88,10.11,7.38,7.36,0.0,0.0,0.0,24.849999999999998,3.6,0.0,0.0,0.0,3.6,2.18,2.56,3.69,0.0
64.19,3,1,1,False,True,18.62,8.23,10.2,7.38,7.36,0.0,0.0,0.0,24.939999999999998,3.75,0.0,0.0,0.0,3.75,2.4,2.56,3.69,0.0
64.4,2,2,0,False,True,21.8,9.37,11.67,8.28,0.0,0.0,0.0,0.0,19.95,4.34,3.73,0.0,0.0,8.07,0.0,2.8,2.41,0.0
64.41,2,2,0,True,True,17.78,6.92,12.66,9.97,0.0,0.0,0.0,0.0,22.630000000000003,4.9,2.99,0.0,0.0,7.890000000000001,0.0,3.35,3.85,1.99
64.85,2,1,0,False,True,22.5,8.95,11.95,8.95,0.0,0.0,0.0,0.0,20.9,5.8,0.0,0.0,0.0,5.8,0.0,2.6,4.1,0.0
64.97,2,2,0,False,True,24.32,6.08,11.94,9.68,0.0,0.0,0.0,0.0,21.619999999999997,3.91,3.89,0.0,0.0,7.800000000000001,0.0,2.85,2.3,0.0
65.26,2,2,0,False,True,24.016,6.004,11.9,9.68,0.0,0.0,0.0,0.0,21.58,4.58,3.7,0.0,0.0,8.280000000000001,0.0,3.0,2.38,0.0
65.27,3,1,1,False,True,19.2,8.42,10.28,7.41,7.39,0.0,0.0,0.0,25.08,3.67,0.0,0.0,0.0,3.67,2.18,3.0,3.72,0.0
65.35,2,2,0,False,False,21.68,5.42,16.8,11.15,0.0,0.0,0.0,0.0,27.950000000000003,4.25,4.2,0.0,0.0,8.45,0.0,0.0,1.85,0.0
65.43,2,2,0,False,True,22.96,5.74,12.75,10.09,0.0,0.0,0.0,0.0,22.84,3.66,3.5,0.0,0.0,7.16,0.0,3.64,3.09,0.0
